"If the heart rate remains < 60/min, continue with CC + SI.","If heart rate remains < 60/min, continue CC + SI.",G0000000|C0018787|C0871208|G0000000|G0000000|C0549178|G0000000
This study evaluated the efficacy and safety of UMEC/VI 125/25 μg and 62.5/25 μg administered once daily over 24 weeks in patients of Asian ancestry with COPD.,This study evaluated efficacy safety UMEC/VI 125/25 μg 62.5/25 μg administered daily 24 weeks patients Asian ancestry COPD.,G0000000|C0557651|C0220825|C1280519|C0036043|C0205999|C1442061|G0000000|C0450371|G0000000|C1521801|C0332173|C0450371|C0439230|C0030705|C0078988|G0000000|C0024117
"Patients were operated in the iMRI operating room setup, using the Stealth Station neuronavigation system, Medtronic Polestar N20 (0.15T) moveable magnet and the Starshield® tent as a mobile Faraday cage for shielding radiofrequency noise (Medtronic Navigation, Louisville, CO).","Patients operated iMRI operating setup, Stealth Station neuronavigation system, Medtronic Polestar N20 (0.15T) moveable magnet Starshield® tent mobile Faraday cage shielding radiofrequency noise (Medtronic Navigation, Louisville, CO).",C0030705|C3242339|C1135564|C3242339|C1521827|G0000000|C1883167|C1136207|C0449913|G0000000|G0000000|G0000000|G0000000|C0577537|C0024483|G0000000|C0183875|C0231435|C2348508|C0337189|C0183251|C2347883|C0028263|G0000000|C2827562|G0000000|C3245499
Intervention staff-patient encounter schedule Notes: HC = health coach; NP = nurse practitioner.,Intervention staff-patient encounter schedule Notes: HC = health coach; NP = nurse practitioner.,C0886296|C0851286|C0545082|C0086960|C1317574|G0000000|C0557773|G0000000|C1709627
"Control CHWs did not perform RDTs, treated all febrile children with AL, and referred those with signs of pneumonia to the health facility, as per Ministry of Health policy.","Control CHWs perform RDTs, treated febrile children AL, referred signs pneumonia health facility, Ministry Health policy.",C0243148|G0000000|C0884358|C0206743|C1522326|C0015967|C0008059|C0202311|C0205543|C0220912|C0032285|C0018684|C1547538|G0000000|C0018684|C0242456
We will collect relevant site profile data (please see “Site profile data” for details).,We collect relevant site profile data (please “Site profile data” details).,G0000000|G0000000|C2347946|C0205145|C1979963|C1511726|G0000000|G0000000|C1979963|G0000000|C1522508
"Concomitant treatments deemed necessary to provide adequate supportive care, including growth factors, were allowed at the investigator's discretion, except for myelosuppressive chemotherapy, histone deacetylase inhibitors, immunomodulating agents, or other medications known or suspected of affecting platelet production.","Concomitant treatments deemed provide adequate supportive care, including growth factors, allowed investigator's discretion, myelosuppressive chemotherapy, histone deacetylase inhibitors, immunomodulating agents, medications suspected platelet production.",C0521115|C0087111|G0000000|C1999230|C0205410|C1521721|C1947933|C0332257|C0018270|C1521761|C0683607|C0035173|G0000000|G0000000|C0013216|C0019652|C1333261|C0243077|G0000000|C0450442|C0013227|C0332147|C0005821|C0033268
"Step 2: Following the group sessions, participants had six telephone maintenance sessions (spaced approximately two weeks apart) with the Peer Educator and the Nurse Educator alternating calls.","Step 2: Following sessions, participants telephone maintenance sessions (spaced weeks apart) Peer Educator Nurse Educator alternating calls.",C1261552|G0000000|C0231290|C1883016|C0679646|C0039457|C0024501|C1883016|C1883067|C0439230|G0000000|C0679739|C0221457|C0028661|C0221457|C0332270|C0679006
"In conclusion, a nonlesional MRI does not preclude successful epilepsy surgery for temporal lobe epilepsy.","In conclusion, nonlesional MRI preclude successful epilepsy surgery temporal lobe epilepsy.",G0000000|C1707478|G0000000|C0024485|G0000000|C0597535|C0014544|C0038894|C0442043|C0796494|C0014544
"Briefly, ASMA consists of two complementary components: (1) an 8-week intensive program for the students, and (2) academic detailing for the adolescents' medical providers.","Briefly, ASMA consists complementary components: (1) 8-week intensive program students, (2) academic detailing adolescents' medical providers.",G0000000|C0066992|C0332529|G0000000|C0449432|G0000000|C0332174|C0162425|C1709697|C0038492|G0000000|C1510747|C1522508|C0205653|C0199168|C1138603
Arm B (Radiotherapy): WBR was applied with a fraction size of 2 Gy day−1 to a total of 40 Gy.,Arm B (Radiotherapy): WBR applied fraction size 2 Gy day−1 total 40 Gy.,C0446516|G0000000|C0034619|G0000000|C4048755|C1264633|C0456389|G0000000|C0439175|G0000000
Overview of recruitment and randomisation in the HUMBA study  Dietary intervention vs routine dietary advice Dietary intervention The multifaceted dietary intervention comprises the following four components.,Overview recruitment randomisation HUMBA study Dietary intervention routine dietary advice Dietary intervention The multifaceted dietary intervention comprises components.,C0814812|C2949735|C0034656|C1932034|C0557651|C0012155|C0886296|C0205547|C0012155|C0150600|C0012155|C0886296|G0000000|C0205291|C0012155|C0886296|C2700400|C0449432
"Of the 303 participants, 265 girls (87%) completed all three assessments.","Of 303 participants, 265 girls (87%) completed assessments.",G0000000|C1442061|C0679646|C1442061|C0870604|C0450371|C0205197|C1261322
"However, the content is not customized for pregnant or postpartum women.","However, content customized pregnant postpartum women.",G0000000|C0423896|C1880202|C0549206|C0086839|C0043210
"RT sessions included leisure activities such as playing cards, stamping a seal while playing bingo, or playing Jenga.","RT sessions included leisure activities playing cards, stamping seal playing bingo, playing Jenga.",C0230425|C1883016|C0332257|C0086542|C0441655|C0032214|C3275277|C1823540|C0036492|C0032214|G0000000|C0032214|G0000000
"The study APN trained the clinic staff (APNs, PAs, MSWs) in the lung and gynecological clinics prior to the recruitment of patients.","The study APN trained clinic staff (APNs, PAs, MSWs) lung gynecological clinics prior recruitment patients.",G0000000|C0557651|C1510818|C0336809|C0002424|C0851286|C1510818|C0030125|C2347078|C0024109|C0018417|C0442592|C0332152|C2949735|C0030705
"We hypothesise that MCP therapy using the AIMhi Stay Strong App will be cost-effective and superior to both a contact control using another app (Hep B Story) [17] and usual care, in reducing psychological distress and depressive symptoms, and improving quality of life and dialysis treatment adherence at 3 months.","We hypothesise MCP therapy AIMhi Stay Strong App cost-effective superior contact control app (Hep B Story) [17] usual care, reducing psychological distress depressive symptoms, improving quality life dialysis treatment adherence 3 months.",G0000000|G0000000|C3540820|C0039798|G0000000|G0000000|C0442821|G0000000|C0010181|C1282910|C0332158|C0243148|G0000000|C1705569|G0000000|C1547707|C0450371|C3538928|C1947933|C0392756|C0205486|C0231303|G0000000|C0683368|C1272745|C0332306|C0376558|C0011945|C0039798|C1510802|G0000000|C0439231
"The first year when SEER coded data elements that would allow identification of patients with unilateral breast cancer who underwent a contralateral mastectomy as a component of the first course of treatment was 1998, and the last year of diagnosis that would allow patients to have at least 2 years of follow-up was 2003.","The SEER coded data elements identification patients unilateral breast cancer underwent contralateral mastectomy component treatment 1998, diagnosis patients 2 follow-up 2003.",G0000000|C0242638|C0009219|C1511726|C0013879|C0020792|C0030705|C0205092|C0006141|C0006826|G0000000|C0441988|C0024881|C0449432|C0039798|G0000000|C0011900|C0030705|G0000000|C0589120|G0000000
Corn oil has been used as placebo in many randomized studies on n-3 PUFAs in CVD.,Corn oil placebo randomized studies n-3 PUFAs CVD.,C0010028|C0028908|C0032042|C0034656|C0947630|C0369718|C0032615|C0007222
The T-EX training goal was three 40-minute exercise sessions per week at an aerobic intensity of 60% in the US trial and 80% of heart rate reserve (HRR) in the German trial.,The T-EX training goal 40-minute exercise sessions week aerobic intensity 60% US trial 80% heart rate reserve (HRR) German trial.,G0000000|C2603360|C0040607|C0018017|C0450371|C0015259|C1883016|C0332174|C1510824|C0522510|C0450371|G0000000|C0008976|C0450371|C0018787|C0871208|C2347957|C1158513|C1556085|C0008976
The purpose of this study was to compare the effects of a differently designed functional appliance (R-appliance) and the Anterior Inclined Bite Plate (AIBP) in Class II Division I (Cl II Div I) cases.,The purpose study compare effects designed functional appliance (R-appliance) Anterior Inclined Bite Plate (AIBP) Class II Division I (Cl II Div I) cases.,G0000000|C1285529|C0557651|C1707455|C1280500|C1707689|C0205245|C0243112|C0205090|C0205094|G0000000|C0005658|C0005971|C1425525|C0456387|G0000000|C0152060|C0021966|C0596019|G0000000|C0332849|C0021966|C0868928
"The six-month continuous self-improvement intervention involved the participant and clinical nurse specialist collaboratively identifying the person’s life routines, important people, and possible solutions to enhance medication taking.","The six-month continuous self-improvement intervention involved participant clinical nurse specialist collaboratively identifying person’s life routines, people, solutions enhance medication taking.",G0000000|C0585339|C0549178|C0036588|C0886296|C1314939|C0679646|C0205210|C0028661|C0087009|G0000000|G0000000|G0000000|C0376558|C0205547|C0027361|C0037633|C2349975|C0013227|G0000000
Controls were placed on a wait list for the dance classes at the end of 12 mo.,Controls wait list dance classes 12 mo.,C0243148|C1610166|C0745732|C0010963|C0456387|C0450371|C0026544
A randomized controlled 3-month trial was conducted with two post-treatment assessments of 200 breast cancer survivors assigned to either 12 weeks of 90-minute twice per week hatha yoga classes or a wait-list control.,A randomized controlled 3-month trial conducted post-treatment assessments 200 breast cancer survivors assigned 12 weeks 90-minute week hatha yoga classes wait-list control.,G0000000|C0034656|C2587213|C0332177|C0008976|C0004927|C2709088|C1261322|C1442061|C0006141|C0006826|C0206194|C1516050|C0450371|C0439230|C0450371|C0332174|G0000000|C0043418|C0456387|C0043010|C0243148
"After the run-in period, children were assigned to one of three treatment groups: (1) continuous budesonide group, receiving budesonide (400 μg twice daily for the first month, then 200 μg twice daily for 5 months) followed by low-dose budesonide (100 μg twice daily for 12 months); (2) budesonide/placebo group, where patients received identical budesonide treatment as Group 1 for the first 6 months followed by placebo for 12 months; and (3) DSCG control group, where patients received DSCG 10 mg three-times daily for 18 months (fig 1).","After run-in period, children assigned treatment groups: (1) continuous budesonide group, receiving budesonide (400 μg daily month, 200 μg daily 5 months) low-dose budesonide (100 μg daily 12 months); (2) budesonide/placebo group, patients received identical budesonide treatment Group 1 6 months placebo 12 months; (3) DSCG control group, patients received DSCG 10 three-times daily 18 months (fig 1).",G0000000|C3274438|C0439531|C0008059|C1516050|C0039798|C0441833|G0000000|C0549178|C0054201|C0441833|C1514756|C0054201|C1442061|G0000000|C0332173|C0332177|C1442061|G0000000|C0332173|G0000000|C0439231|C0445550|C0054201|C1442061|G0000000|C0332173|C0450371|C0439231|G0000000|C0054201|C0441833|C0030705|C1514756|C0205280|C0054201|C0039798|C0441833|G0000000|G0000000|C0439231|C0032042|C0450371|C0439231|G0000000|C0012694|C0243148|C0441833|C0030705|C1514756|C0012694|C0450371|C0205449|C0332173|C0450371|C0439231|C0349966|G0000000
"Follow up continued for five to eight years (median 5.7 years) with a total of 159,199 person years.","Follow continued (median 5.7 years) total 159,199 person years.",C0332283|C0549178|C0549183|G0000000|C0439234|C0439175|C1442061|C0027361|C0439234
"The study group received 25 drops of Fennelin 2% every 6 h.[18] Each 1 ml drop contains 15.5 mg Antole (Barijessence Herbal Drug Company, Kashan, Iran).","The study received 25 drops Fennelin 2% 6 h.[18] Each 1 drop 15.5 Antole (Barijessence Herbal Drug Company, Kashan, Iran).",G0000000|C0557651|C1514756|C0450371|C0991568|G0000000|G0000000|G0000000|C0033727|G0000000|G0000000|C1321095|C0450371|G0000000|G0000000|C3146288|C0013227|C0683757|G0000000|C0022065
Receptivity to tobacco marketing has a particularly robust track record in showing effects on adolescent smoking.,Receptivity tobacco marketing robust track record effects adolescent smoking.,C0544683|C0040329|C0024826|C2986815|C0040594|C0034869|C1280500|C0205653|C0037369
Investigational Epoetin Therapy Algorithm Patients assigned to the usual care group were advised to follow the written exercise recommendations provided by their physician.,Investigational Epoetin Therapy Algorithm Patients assigned usual care advised follow written exercise recommendations provided physician.,C1517586|C0014822|C0039798|C0002045|C0030705|C1516050|C3538928|C1947933|G0000000|C0332283|C0043266|C0015259|C0034866|C1999230|C0031831
