"After October 2004, an aromatase inhibitor was allowed.","After October 2004, aromatase inhibitor allowed.",G0000000|C3828732|G0000000|C0003805|C1999216|C0683607
"Based on the favorable response to previous treatment, the breast cancer and ovarian cancer patient populations were less likely to be compromised immunologically and thus were evaluated together.","Based favorable response previous treatment, breast cancer ovarian cancer patient populations compromised immunologically evaluated together.",C1527178|C3640814|C0871261|C0205156|C0039798|C0006141|C0006826|C0205065|C0006826|C0030705|C0032659|C2945640|G0000000|C0220825|C1883357
"We used mixed models for continuous outcomes (violence, provoking behavior, school delinquency, and the combined behavior) and generalized estimating equations for ordinal outcomes (substance use, sexual activity, and condom use).","We mixed models continuous outcomes (violence, provoking behavior, school delinquency, combined behavior) generalized estimating equations ordinal outcomes (substance use, sexual activity, condom use).",G0000000|C0205430|C3161035|C0549178|C1274040|C0042693|G0000000|C0004927|C0036375|C0522174|C0205195|C0004927|C0205246|C0750572|C0552449|C0439080|C1274040|C0439861|C0042153|C0036864|C0205177|C0009653|C0042153
"As mentioned previously, cytotoxic drugs tend to be used sequentially as second-line and third-line therapies in some countries, including Japan.","As mentioned previously, cytotoxic drugs tend sequentially second-line third-line therapies countries, including Japan.",G0000000|G0000000|G0000000|C0677881|C0013227|G0000000|G0000000|C0205436|C0205437|C0087111|C0454664|C0332257|C0022341
"Once the patient met this threshold, a single dose of 3 mg of lorazepam in 25 mL of 0.9% normal saline solution or identically appearing placebo (25 mL of 0.9% normal saline) was infused intravenously over 1.5 minutes.","Once patient met threshold, single dose 3 lorazepam 25 mL 0.9% normal saline solution identically appearing placebo (25 mL 0.9% normal saline) infused intravenously 1.5 minutes.",C0585347|C0030705|C0268621|C0449864|C0037179|C0178602|G0000000|C0024002|C0450371|C0439526|G0000000|C0205307|C0036082|C0037633|G0000000|C0700364|C0032042|C0450371|C0439526|G0000000|C0205307|C0036082|G0000000|G0000000|G0000000|C0439232
"Another important topic of investigation will be the identification of serum 25(OH)D levels required to avoid aberrations in specified maternal and infant biologic systems, which was not possible in this intention-to-treat pilot study.","Another topic investigation identification serum 25(OH)D levels required avoid aberrations maternal infant biologic systems, intention-to-treat pilot study.",G0000000|C1522168|C0220825|C0020792|C0229671|C0450371|C0441889|C1514873|G0000000|C0443127|C2347083|C0021270|C0005515|C0449913|C0162425|C0473169|C0557651
"However, 98% of such diets restricted fresh vegetables, and 93% restricted fresh fruits and juices.","However, 98% diets restricted fresh vegetables, 93% restricted fresh fruits juices.",G0000000|C0450371|C0012155|C0443288|C0443224|C0042440|C0450371|C0443288|C0443224|C0016767|C1268568
"Baseline patient characteristics were similar for both treatment groups (eg, olanzapine vs quetiapine, respectively: mean age (years) [standard deviation (SD)]: 45.4 [9.4] vs 42.5 [11.5]; p = 0.083; mean time on olanzapine (weeks) [SD]: 67.5 [98.5] vs 69.4 [107.8]; p = 0.554).","Baseline patient characteristics treatment (eg, olanzapine quetiapine, respectively: age (years) [standard deviation (SD)]: 45.4 [9.4] 42.5 [11.5]; = 0.083; time olanzapine (weeks) [SD]: 67.5 [98.5] 69.4 [107.8]; = 0.554).",C0168634|C0030705|C1521970|C0039798|C0013715|C0171023|C0123091|G0000000|C0001779|C0439234|C1442989|C0012727|G0000000|C0450371|G0000000|C0450371|C0450371|G0000000|C1442061|C0040223|C0171023|C0439230|C2699239|C0450371|C0450371|C0450371|C1442061|G0000000|C1442061
"The time to FEV1 recovery and the number of subjects with less than 10%, 10% to 20%, and more than 20% decrease in FEV1 were summarized by treatment.","The time FEV1 recovery subjects 10%, 10% 20%, 20% decrease FEV1 summarized treatment.",G0000000|C0040223|G0000000|C0237820|C0681850|C0450371|C0450371|C0450371|C0450371|C0392756|G0000000|G0000000|C0039798
Furthermore since patient and caregiver outcomes were endpoints (and for patients with severe cognitive compromise caregiver-reported patient outcomes were used) the caregiver also had to be present during the (blinded) examiner visits.,Furthermore patient caregiver outcomes endpoints (and patients severe cognitive compromise caregiver-reported patient outcomes used) caregiver (blinded) examiner visits.,G0000000|C0030705|C0085537|C1274040|C2349179|G0000000|C0030705|C0205082|C1516691|C2945640|C0085537|C0030705|C1274040|C1273517|C0085537|C0150108|G0000000|C0545082
None of the combination regimens was superior to the reference treatment in terms of overall survival even though a higher response rate was seen.,None combination regimens superior reference treatment terms survival response rate seen.,G0000000|C0205195|C2945654|C1282910|C1514811|C0039798|C0233324|C0038952|C0871261|C0871208|C0205397
"In the study period, 160 patients presented for possible colorectal excision for cancer; 53 were excluded (27 had metastatic disease, 13 were unfit for surgery or opted not to have surgery, 1 had clinical depression, 4 underwent joint surgery with another surgical specialty, and in 8, informed consent was not possible).","In study period, 160 patients colorectal excision cancer; 53 excluded (27 metastatic disease, 13 unfit surgery opted surgery, 1 clinical depression, 4 underwent joint surgery surgical specialty, 8, informed consent possible).",G0000000|C0557651|C0439531|C1442061|C0030705|C0555952|C0015252|C0006826|C0450371|C1554077|C0450371|C0036525|C0012634|C0450371|G0000000|C0038894|C1412930|C0038894|G0000000|C0205210|C0011570|G0000000|G0000000|C0022417|C0038894|C0543467|C0037778|G0000000|C1522154|C1511481|C0332149
The weight lifting program successfully blended supervised and unsupervised exercise to promote safety and enable long-term sustainability.,The weight lifting program blended supervised unsupervised exercise promote safety enable long-term sustainability.,G0000000|C0005910|C0206244|C1709697|C0678946|G0000000|G0000000|C0015259|C0033414|C0036043|C0562342|C0443252|G0000000
"Clomiphene citrate, in use since the 1960s, is still considered the best initial treatment for the majority of women with anovulatory infertility (4).","Clomiphene citrate, 1960s, considered initial treatment majority women anovulatory infertility (4).",C0009008|C0008857|G0000000|C0750591|C0205265|C0039798|C0680220|C0043210|C0429468|C0021359|G0000000
All authors have read and approved the final manuscript.,All authors read approved final manuscript.,G0000000|C3812881|C0034754|C0205540|C0205088|C0600659
"Community midwives attached to 40 participating general practitioner practices across 2 counties screened women using a range of demographic and socioeconomic criteria (eg, mental health problems or housing problems).","Community midwives attached 40 participating practitioner practices 2 counties screened women range demographic socioeconomic criteria (eg, mental health housing problems).",C0009462|C0026083|C3714578|C0450371|C0679823|C1709627|C0237607|G0000000|C0079170|C0220908|C0043210|C1514721|C0011298|C0748878|C0243161|C0013715|C0229992|C0018684|C0020056|C1546466
"Furthermore, during the 6-month period of stable disease, she had no symptoms from either disease or treatment.","Furthermore, 6-month period stable disease, symptoms disease treatment.",G0000000|C0332177|C0439531|C0205360|C0012634|C0683368|C0012634|C0039798
All families were instructed to return in 1 month for visit no.,All families instructed return 1 month visit no.,G0000000|C0015576|G0000000|C0332156|G0000000|C0332177|C0545082|G0000000
There were no significant main effects at Step 1 with both language and parent Anglo orientation in the model.,There main effects Step 1 language parent Anglo orientation model.,G0000000|C0205225|C1280500|C1261552|G0000000|C0023008|C0030551|C0870136|C0029266|C3161035
Specific Reasons Patients Were Excluded From the Analysis,Specific Reasons Patients Were Excluded From Analysis,C0205369|C0392360|C0030705|G0000000|C1554077|G0000000|C0002778
Later the patients were recalled for 3 months and 6 months for clinical and radiographic evaluation.,Later patients recalled 3 months 6 months clinical radiographic evaluation.,C0205087|C0030705|C0034770|G0000000|C0439231|G0000000|C0439231|C0205210|C0444708|C0220825
"For obvious reasons, those administering the intervention and health professionals implementing the intervention were not blinded.","For obvious reasons, administering intervention health professionals implementing intervention blinded.",G0000000|G0000000|C0392360|C1533734|C0886296|C0018684|C0679924|G0000000|C0886296|C0150108
"Promoting early presentation in women attending for their final round of breast screening, at whatever age that may be, may reduce stage at diagnosis cost-effectively among older women.","Promoting presentation women attending final round breast screening, age be, reduce stage diagnosis cost-effectively women.",C0033414|C0449450|C0043210|C1547429|C0205088|C0332490|C0006141|C0220908|C0001779|G0000000|G0000000|C0205390|C0011900|C0010186|C0043210
The third component was psychosocial support and patient education.,The component psychosocial support patient education.,G0000000|C0449432|C0542298|C0183683|C0030705|C0013621
Another possible limitation was the allowance of fine-needle aspiration or core needle biopsy for diagnostic purposes.,Another limitation allowance fine-needle aspiration core needle biopsy diagnostic purposes.,G0000000|C0449295|C0556660|C0441186|C0220787|C0444669|C0027551|C0005558|C0011900|C1285529
"Furthermore, an optional group meeting is offered every second month that mothers can attend.","Furthermore, optional meeting offered month mothers attend.",G0000000|C1518600|C0556656|C1444648|C0332177|C0026591|C1999232
2).,2).,G0000000
BIDMC provides cancer care to patients 18 years of age or older.,BIDMC cancer care patients 18 age older.,G0000000|C0006826|C1947933|C0030705|C0450371|C0001779|C0580836
"CALGB 40101 ({""type"":""clinical-trial"",""attrs"":{""text"":""NCT00041119"",""term_id"":""NCT00041119""}}NCT00041119, supported by the National Cancer Institute and CALGB) was initiated in 2002 as a 2 × 2 factorial design to test as adjuvant chemotherapy the noninferiority of T versus AC and the superiority of longer versus shorter therapy, initially for women with node-negative disease and eventually for women with 1 to 3 positive nodes as well.","CALGB 40101 ({""type"":""clinical-trial"",""attrs"":{""text"":""NCT00041119"",""term_id"":""NCT00041119""}}NCT00041119, supported National Cancer Institute CALGB) initiated 2002 2 × 2 factorial design test adjuvant chemotherapy noninferiority T versus AC superiority versus shorter therapy, initially women node-negative disease eventually women 1 3 positive nodes well.",C1516238|G0000000|C0332307|C1521721|C3245503|C0006826|C0021622|C1516238|C1548602|G0000000|G0000000|G0000000|G0000000|C2826344|C1707689|C0022885|C0001551|C0013216|G0000000|C2603360|G0000000|C0003354|C0680218|G0000000|C1282927|C0039798|C0205265|C0043210|C0678034|C0012634|G0000000|C0043210|G0000000|G0000000|C0439178|C0746922|C0205170
Pilot study conducted at an academic medical center breast clinic.,Pilot study conducted academic medical center breast clinic.,C0473169|C0557651|C0004927|C1510747|C0199168|C0205099|C0006141|C0002424
"Cycles were repeated until disease progression, unacceptable toxicity, or until the patient declined further treatment.","Cycles repeated disease progression, unacceptable toxicity, patient declined treatment.",C1511572|C0205341|C0012634|C0242656|C1883420|C0040539|C0030705|G0000000|C0039798
